iter	Passed	Remaining
0	4	4307
1	7	3973
2	12	4095
3	15	3895
4	19	3830
5	23	3840
6	27	3927
7	31	3851
8	34	3831
9	38	3823
10	44	3961
11	47	3936
12	51	3906
13	55	3886
14	60	3964
15	64	3939
16	67	3908
17	72	3928
18	76	3966
19	80	3924
20	83	3884
21	86	3852
22	91	3873
23	94	3842
24	97	3804
25	100	3775
26	103	3747
27	108	3772
28	111	3746
29	115	3722
30	118	3703
31	122	3695
32	126	3704
33	129	3684
34	132	3664
35	136	3646
36	140	3652
37	143	3633
38	146	3615
39	149	3598
40	153	3583
41	158	3607
42	161	3600
43	165	3597
44	169	3594
45	174	3621
46	178	3611
47	181	3600
48	184	3587
49	189	3602
50	193	3607
51	197	3604
52	201	3591
53	205	3605
54	209	3592
55	212	3579
56	215	3566
57	219	3563
58	223	3567
59	227	3558
60	230	3550
61	234	3548
62	239	3559
63	242	3548
64	245	3536
65	249	3527
66	254	3539
67	257	3531
68	261	3522
69	264	3514
70	268	3512
71	272	3507
72	274	3486
73	278	3478
74	281	3470
75	285	3476
76	289	3466
77	292	3456
78	296	3451
79	299	3444
80	303	3448
81	307	3441
82	310	3435
83	314	3430
84	319	3444
85	324	3443
86	327	3441
87	331	3437
88	344	3523
89	348	3527
90	353	3533
91	357	3532
92	361	3529
93	366	3537
94	371	3535
95	374	3530
96	378	3524
97	384	3534
98	387	3530
99	391	3524
100	395	3518
101	400	3524
102	404	3518
103	407	3511
104	411	3506
105	415	3508
106	419	3500
107	422	3492
108	426	3482
109	429	3476
110	434	3476
111	437	3468
112	440	3460
113	445	3459
114	450	3468
115	455	3474
116	459	3470
117	465	3480
118	469	3478
119	473	3475
120	477	3467
121	482	3472
122	486	3469
123	490	3464
124	494	3458
125	498	3456
126	501	3449
127	504	3440
128	508	3433
129	513	3436
130	517	3430
131	520	3422
132	523	3415
133	528	3416
134	532	3411
135	535	3403
136	539	3397
137	542	3391
138	547	3389
139	550	3381
140	553	3373
141	556	3365
142	561	3364
143	564	3357
144	568	3351
145	572	3348
146	577	3349
147	581	3347
148	586	3347
149	590	3348
150	597	3357
151	601	3356
152	606	3355
153	611	3359
154	616	3362
155	621	3362
156	626	3365
157	631	3364
158	635	3361
159	639	3359
160	645	3362
161	650	3364
162	654	3363
163	661	3369
164	666	3371
165	671	3371
166	678	3382
167	682	3380
168	686	3377
169	692	3382
170	697	3381
171	702	3380
172	708	3385
173	712	3383
174	717	3382
175	723	3387
176	728	3385
177	733	3385
178	737	3383
179	742	3383
180	746	3379
181	751	3378
182	758	3384
183	762	3383
184	768	3384
185	774	3388
186	778	3386
187	783	3384
188	788	3384
189	792	3379
190	797	3376
191	800	3369
192	805	3366
193	809	3362
194	813	3358
195	818	3356
196	823	3357
197	828	3354
198	832	3352
