iter	Passed	Remaining
0	27	4107
1	55	4084
2	82	4059
3	110	4050
4	138	4009
5	167	4031
6	197	4030
7	226	4021
8	255	3995
9	283	3972
10	324	4094
11	357	4112
12	393	4144
13	429	4175
14	460	4145
15	491	4116
16	522	4089
17	552	4049
18	579	3996
19	608	3956
20	636	3910
21	663	3862
22	690	3815
23	718	3773
24	748	3741
25	776	3705
26	807	3676
27	838	3651
28	866	3613
29	894	3578
30	924	3549
31	955	3521
32	986	3497
33	1019	3478
34	1049	3448
35	1079	3417
36	1108	3384
37	1135	3347
38	1163	3312
39	1191	3275
40	1220	3243
41	1251	3216
42	1280	3186
43	1307	3150
44	1336	3119
45	1365	3086
46	1396	3061
47	1424	3027
48	1452	2993
49	1480	2960
50	1508	2928
51	1538	2898
52	1567	2868
53	1594	2834
54	1621	2801
55	1650	2770
56	1684	2747
57	1717	2724
58	1754	2706
59	1788	2682
60	1822	2659
61	1856	2634
62	1886	2605
63	1915	2574
64	1944	2542
65	1973	2512
66	2002	2480
67	2031	2449
68	2062	2420
69	2089	2387
70	2117	2356
71	2149	2328
72	2177	2296
73	2205	2265
74	2233	2233
75	2261	2202
76	2289	2170
77	2317	2139
78	2345	2108
79	2376	2079
80	2407	2050
81	2437	2020
82	2465	1989
83	2493	1959
84	2522	1928
85	2550	1898
86	2578	1867
87	2606	1836
88	2636	1806
89	2664	1776
90	2692	1745
91	2721	1715
92	2748	1684
93	2778	1654
94	2805	1624
95	2835	1594
96	2863	1564
97	2893	1535
98	2923	1505
99	2952	1476
100	2981	1446
101	3009	1416
102	3037	1386
103	3066	1356
104	3093	1325
105	3122	1296
106	3150	1265
107	3177	1235
108	3206	1206
109	3236	1176
110	3264	1147
111	3295	1118
112	3327	1089
113	3356	1059
114	3384	1030
115	3412	1000
116	3439	970
117	3466	940
118	3495	910
119	3522	880
120	3549	850
121	3578	821
122	3607	791
123	3636	762
124	3664	732
125	3690	703
126	3718	673
127	3746	643
128	3776	614
129	3804	585
130	3832	555
131	3861	526
132	3890	497
133	3919	467
134	3949	438
135	3977	409
136	4005	380
137	4034	350
138	4063	321
139	4092	292
140	4123	263
141	4157	234
142	4190	205
143	4222	175
144	4257	146
145	4292	117
146	4324	88
147	4361	58
148	4399	29
149	4434	0
